title,artist,year,playcount
Are You Receiving Me,Golden Earring,1973,1
Ah! Leah!,Donnie Iris,1980,13
19th Nervous Breakdown,Rolling Stones,1966,1
My Kinda Lover,Billy Squier,1981,22
TIME IS ON MY SIDE,Rolling Stones,1964,2
Fm {no Static At All},Steely Dan,1978,1
Girls Girls Girls,Motley Crue,1987,25
Candy-o,The Cars,1979,8
Signs,Tesla,1990,15
The Wizard,Uriah Heep,1972,1
Purple Haze,Jimi Hendrix,1967,67
Fly,Sugar Ray,1997,2
Long Train Runnin',The Doobie Brothers,1973,55
We're an American Band,Grand Funk Railroad,1973,25
Lonely Boy,The Black Keys,2011,6
Green River,Creedence Clearwater Revival,1969,3
Heading Out To The Highway,Judas Priest,1981,10
One Way Out,Allman Brothers Band,1972,3
Shake It Up,The Cars,1981,27
Mr. Jones,Counting Crows,1993,2
Careful With That Axe Eugene,Pink Floyd,1969,23
Yellow Ledbetter,Pearl Jam,1992,2
Tie Your Mother Down,Queen,1976,4
Heat of the Moment,Asia,1982,37
Goodbye Stranger,Supertramp,1979,60
Woman,John Lennon,1980,1
Eyes Without a Face,Billy Idol,1984,2
Tainted Love,Soft Cell,1981,1
Roam,The B-52's,1989,1
Hair Of The Dog,Nazareth,1975,53
Bicycle Race,Queen,1978,3
TALK OF THE TOWN,The Pretenders,1980,1
Piece of Your Action,Motley Crue,1981,1
The Crunge,Led Zeppelin,1973,1
Rockstar,Nickelback,2005,10
Live and Let Die,Guns N' Roses,1991,29
I'm Goin' Home,Ten Years After,1968,1
Owner of a Lonely Heart,Yes,1983,81
Doo Doo Doo Doo Doo (Heartbreaker),Rolling Stones,1973,21
Photograph,Nickelback,2005,1
Badlands,Bruce Springsteen,1978,2
Free Ride,Edgar Winter Group,1973,26
Soul to Squeeze,Red Hot Chili Peppers,1993,8
Heavy Metal,Don Felder,1981,12
Living After Midnight,Judas Priest,1980,32
Hemorrhage,Free,2000,1
Bark At The Moon,Ozzy Osbourne,1983,6
Limelight,Rush,1981,90
Scuttle Buttin',Stevie Ray Vaughan,1984,3
The Man Who Sold the World,Nirvana,1995,4
Me and Bobby McGee,Janis Joplin,1971,23
Suite Madame Blue,Styx,1975,2
JOHNNY B. GOODE,Chuck Berry,1958,2
London Calling,The Clash,1979,8
Blinded By the Light,Bruce Springsteen,1973,1
Roll Over Beethoven,Electric Light Orchestra,2000,3
Hero of the Day,Metallica,1996,1
Darlene,Led Zeppelin,1982,2
WILD WORLD,Cat Stevens,1971,2
Heroes,David Bowie,1977,3
Already Gone,Eagles,1974,71
Hold The Line,Toto,1978,72
Pink Cadillac,Bruce Springsteen,1984,9
I Know a Little,Lynyrd Skynyrd,1977,4
Diamond Dogs,David Bowie,1974,1
Tom Sawyer,Rush,1981,114
Brothers In Arms,Dire Straits,1985,14
Let My Love Open the Door,Pete Townshend,1980,38
Jersey Girl,Bruce Springsteen,1985,1
Madman Across The Water,Elton John,1971,1
Shout at the Devil,Motley Crue,1983,4
Victim of Love,Eagles,1976,5
Big Empty,Stone Temple Pilots,1994,7
The Lamb Lies Down On Broadway,Genesis,1974,23
Medicated Goo,Traffic,1968,1
Stand Back,Stevie Nicks,1983,40
Lonely Is the Night,Billy Squier,1981,80
Gimme Back My Bullets,Lynyrd Skynyrd,1976,4
Edge of a Broken Heart,Vixen,1988,2
Recognition,Detective,1977,1
For Whom The Bell Tolls,Metallica,1984,1
Headed For A Heartbreak,Winger,1988,1
Starship Trooper,Yes,1971,1
Lust for Life,Iggy Pop,1977,4
I Heard It Through the Grapevine,Creedence Clearwater Revival,1970,8
Black Velvet,Alannah Myles,1989,1
Photograph,Def Leppard,1983,88
Brass In Pocket,The Pretenders,1980,51
Love Alive,Heart,1977,1
Across The Universe,The Beatles,1970,1
Hey You,Pink Floyd,1979,65
The One I Love,R.E.M.,1987,35
Strawberry Fields Forever,The Beatles,1967,7
Dream On,Aerosmith,1973,142
Dear Mr. Fantasy,Traffic,1967,4
Bargain,The Who,1971,35
Black,Pearl Jam,1991,11
Coming Up,Paul McCartney & Wings,1980,3
Wonderous Stories,Yes,1977,5
Back Off Boogaloo,Ringo Starr,1972,2
Turbo Lover,Judas Priest,1986,1
Funk #49,Joe Walsh,2012,4
WAR,Edwin Starr,1970,2
Misty Mountain Hop,Led Zeppelin,1971,31
Changes,David Bowie,1971,33
Slow Ride,Foghat,1975,77
How Can I Refuse,Heart,1983,2
One of These Nights,Eagles,1975,48
War Pigs,Black Sabbath,1970,38
Handle with Care,The Traveling Wilburys,1988,5
Atlantic City,Bruce Springsteen,1982,1
Burning Down the House,Talking Heads,1983,72
Black Dog,Led Zeppelin,1971,105
Goodnight Saigon,Billy Joel,1983,1
Livin' Thing,Electric Light Orchestra,1976,12
Dreams,Van Halen,1986,25
Voices,Russ Ballard,1975,2
Escape,Journey,1981,1
Straight On,Heart,1978,36
Hats Off To {roy} Harper,Led Zeppelin,1970,8
Take Me To The River,Talking Heads,1978,23
Too Rolling Stoned,Robin Trower,1974,5
Tarkio Road,Brewer & Shipley,1970,1
Don't Let Me Down,The Beatles,1969,1
Cat Scratch Fever,Ted Nugent,1977,20
Dog & Butterfly,Heart,1978,3
Blondes In Black Cars,Autograph,1985,1
Even Flow,Pearl Jam,1991,16
Stairway To Heaven,Heart,1977,4
Lookin' Out My Back Door,Creedence Clearwater Revival,1970,20
Legs,ZZ Top,1983,121
The Number Of The Beast,Iron Maiden,1982,18
Carry On,Crosby Stills Nash & Young,1970,6
BE MY LOVER,Alice Cooper,1971,1
I Want To Hold Your Hand,The Beatles,1963,2
Dolly Dagger,Jimi Hendrix,1970,3
The Long And Winding Road,The Beatles,1970,2
Let 'Em In,Paul McCartney & Wings,1976,1
YOU'VE GOT A FRIEND,JAMES TAYLOR,1971,1
Dance Little Sister,Rolling Stones,1980,1
Lazy,Deep Purple,1972,1
Touch Too Much,AC/DC,1979,2
Woman From Tokyo,Deep Purple,1973,42
Stir It Up,Bob Marley,1973,2
Werewolves of London,Warren Zevon,1978,52
Your Time Is Gonna Come,Led Zeppelin,1969,10
Gimme Some Water,Eddie Money,1978,8
Rebel Rebel,David Bowie,1974,43
You Never Give Me Your Money,The Beatles,1969,2
We Will Rock You,Queen,1977,14
Turn On Your Lovelight,Grateful Dead,1969,1
Instant Karma,John Lennon,1970,21
Peaceful Easy Feeling,Eagles,1972,16
Someday (Single Mix),Nickelback,2003,1
THE CONTINUING STORY OF BUNG,The Beatles,1968,1
Head Games,Foreigner,1979,43
Test For Echo,Rush,1996,23
Bebe le Strange,Heart,1980,1
Back for More,Ratt,1984,3
A Woman In Love,Tom Petty & The Heartbreakers,1981,2
Free for All,Ted Nugent,1977,10
Stairway to Heaven,Led Zeppelin,1971,79
Hi Hi Hi,Paul McCartney & Wings,1976,6
Emotional Rescue,Rolling Stones,1980,1
Sunday Bloody Sunday,U2,1983,54
Best Of Both Worlds,Van Halen,1986,6
One,U2,1991,18
Shakedown Cruise,Jay Ferguson,1979,1
Me and Bobby McGee,Grateful Dead,1970,1
30 Days In the Hole,Humble Pie,1972,2
I Wanna Be Sedated,The Ramones,1978,23
That Was Yesterday,Foreigner,1984,4
How You Remind Me,Nickelback,2001,4
I Feel Fine,The Beatles,1964,5
Hey Hey (What Can I Do?),Led Zeppelin,1970,32
Stone Free,Jimi Hendrix,1966,4
Fame,David Bowie,1975,59
You Shook Me All Night Long,AC/DC,1980,138
Beautiful Girls,Van Halen,1979,44
Little Suzi,Tesla,1986,1
Piece of My Heart,Janis Joplin,1968,28
God Save The Queen,Sex Pistols,1977,26
Four Sticks,Led Zeppelin,1971,5
NOT FADEAWAY/GOING /AWAY,Grateful Dead,1971,1
Fell On Black Days,Soundgarden,1994,4
The Wanton Song,Led Zeppelin,1975,1
Midnight Rider,Gregg Allman,1970,6
Three Lock Box,Sammy Hagar,1982,1
Never Been Any Reason,Head East,1975,16
I'm No Angel,Gregg Allman,1987,17
I'd Love To Change The World,Ten Years After,1971,18
Paradise City,Guns N' Roses,1987,75
Rock And Roll,Heart,1976,1
Rock Rock,Def Leppard,1983,1
Jump into the Fire,Harry Nilsson,1971,3
Drinkin' in the Driveway,Michael Stanley,2001,1
Sympathy For The Devil,Rolling Stones,1968,81
Don't Ask Me No Questions,Lynyrd Skynyrd,1974,14
Fixing A Hole,The Beatles,1967,2
Godzilla,Blue Oyster Cult,1977,9
Old Man,Neil Young,1972,13
Runaround,Van Halen,1991,1
Hello Again,The Cars,1984,6
I'm Down,The Beatles,1965,1
Must of Got Lost,J. Geils Band,1974,10
She's a Beauty,The Tubes,1983,25
Sundown,Gordon Lightfoot,1974,7
Baby I Love Your Way,Peter Frampton,1975,41
Anything Anything,Dramarama,1985,2
Under My Thumb,Rolling Stones,1966,42
Somebody Save Me,Cinderella,1986,1
Loser,Beck,1994,1
Midnight Rambler,Rolling Stones,1969,2
With a Little Help From My Friends,The Beatles,1967,7
Sweet Jane (Live),Lou Reed,1970,1
Hey Nineteen,Steely Dan,1980,8
Love Walks In,Van Halen,1986,4
The Devil Went Down To Georgia,Charlie Daniels Band,1979,25
Hitch A Ride,Boston,1976,11
Go Your Own Way,Fleetwood Mac,1977,77
Since I've Been Loving You,Led Zeppelin,1970,11
Take The Highway,The Marshall Tucker Band,1973,1
Smuggler's Blues,Glenn Frey,1984,3
Glory Days,Bruce Springsteen,1984,21
The Cisco Kid,War,1972,3
Good Times Bad Times,Led Zeppelin,1969,43
Your Cash Ain't Nothin But Trash,Steve Miller Band,1973,1
So Far Away,Dire Straits,1985,25
In the Light,Led Zeppelin,1975,4
Living In The Past,Jethro Tull,1969,13
Ob-la-di Ob-la-da,The Beatles,1968,13
The Fool On The Hill,The Beatles,1967,2
Look Into The Future,Journey,1976,1
American Dream Plan B,Tom Petty & The Heartbreakers,2014,2
Get Off My Cloud,Rolling Stones,1965,1
Little Wing,Stevie Ray Vaughan,1991,9
I Can Survive,Triumph,1980,1
Had a Dream (Sleeping With the Enemy),Roger Hodgson,1984,1
Rock and Roll Ain't Noise Pollution,AC/DC,1980,21
Give It Away,Red Hot Chili Peppers,1991,7
It's Been Awhile,Staind,2001,4
You Got That Right,Lynyrd Skynyrd,1977,13
Self Esteem,The Offspring,1994,4
You Make Loving Fun,Fleetwood Mac,1977,31
Shadows Of The Night,Pat Benatar,1982,8
School's Out,Alice Cooper,1972,44
Learning To Fly,Tom Petty & The Heartbreakers,1991,23
On Through The Night,Def Leppard,1980,1
Wrong Way,Sublime,1996,2
Midnight Blue,Lou Gramm,1987,1
The Lemon Song,Led Zeppelin,1969,3
Crazy Train,Ozzy Osbourne,1980,79
All the Small Things,Blink-182,1999,1
Only Time Will Tell,Asia,1982,3
Hello Goodbye,Paul McCartney & Wings,1967,1
Jack & Diane,John Mellencamp,1982,73
Emotions in Motion,Billy Squier,1982,0
Tightrope,Stevie Ray Vaughan,1989,6
Drop Dead Legs,Van Halen,1984,4
GIMME SOME LOVIN',Spencer Davis Group,1966,4
Mysterious Ways,U2,1991,38
One Slip,Pink Floyd,1987,1
Tangerine,Led Zeppelin,1970,1
Voodoo Child (Slight Return),Jimi Hendrix,1968,2
Breakdown,Tom Petty & The Heartbreakers,1977,88
AS FAR AS YOU CAN SEE (AS MU,Gypsy,1971,1
I Love Rock 'n Roll,Joan Jett,1981,82
Shoot To Thrill,AC/DC,1980,45
CRAZY LOVE,Van Morrison,1970,1
Heartbreaker,Rolling Stones,1973,3
The Pretender,Foo Fighters,2007,1
Blackbird,The Beatles,1968,3
Holy Diver,Dio,1983,7
Summertime Blues,The Who,1958,9
There's No Way Out Of Here,David Essex,1973,1
Into The Fire,Dokken,1984,1
All I Wanna Do Is Make Love to You,Heart,1990,2
No Quarter,Led Zeppelin,1973,3
Runnin' Down a Dream,Tom Petty & The Heartbreakers,1989,96
The Night They Drove Old Dixie Down,The Band,1969,3
See Emily Play,Pink Floyd,1967,1
Electric Eye,Judas Priest,1982,1
Dreams,Fleetwood Mac,1977,53
South Bound Saurez,Led Zeppelin,1979,1
Black Magic Woman,Santana,1970,61
By the Way,Red Hot Chili Peppers,2002,1
Peace of Mind,Boston,1976,132
N.I.B.,Black Sabbath,1970,8
Ain't Too Proud to Beg,Rolling Stones,1974,14
Perry Mason,Ozzy Osbourne,1995,2
Closer To Home (I'm Your Captain),Grand Funk Railroad,1970,8
Somehow Somewhere Someway,Kenny Wayne Shepherd,1997,1
Daughter,Pearl Jam,1993,10
Long Stick Goes Boom,Krokus,1982,1
Revolution,The Beatles,1968,55
I Saw the Light,Todd Rundgren,1972,2
Dance the Night Away,Van Halen,1979,106
Cherry Pie,Warrant,1990,6
You're In My Heart (The Final Acclaim),Rod Stewart,1977,1
Tell Me What You Want,Zebra,1983,2
Kiss Me Deadly,Lita Ford,1988,1
Boom Boom/,Pat Travers,1976,1
Fox On The Run,Sweet,1974,16
Who Can It Be Now?,Men At Work,1982,6
Is She Really Going Out With Him?,Joe Jackson,1979,6
Breakfast in America,Supertramp,1979,56
THE SEEKER,The Who,1970,1
Found Out About You,Gin Blossoms,1993,1
Turn Up The Music  1977,Sammy Hagar,1977,3
Third Stone From The Sun,Jimi Hendrix,1967,2
Flying High Again,Ozzy Osbourne,1981,44
Custard Pie,Led Zeppelin,1975,6
Beth,Kiss,1976,2
Even Better Than the Real Thing,U2,1991,3
U Get Me High,Tom Petty & The Heartbreakers,2014,2
Journey to the Center of the Mind,The Amboy Dukes,1968,1
Great White Buffalo,Ted Nugent,1974,1
You Don't Know How It Feels,Tom Petty & The Heartbreakers,1994,31
Thunder Road,Bruce Springsteen,1975,7
Vertigo,U2,2004,3
Conquistador,London Symphony Orchestra,1967,2
Everybody's Got Something To Hide Except Me And My Monk,The Beatles,1968,1
Rock Around the Clock,Bill Haley,1955,1
No Leaf Clover,Metallica,1999,1
Sex Action,L.A. Guns,1988,1
867-5309 / Jenny,Tommy Tutone,1982,11
Dreamboat Annie,Heart,1976,3
Wonderwall,Oasis,1995,3
It's In The Way That You Use It,Eric Clapton,1986,10
Cliffs Of Dover,Eric Johnson,1990,2
Are You Gonna Go My Way,Lenny Kravitz,1993,11
Man On The Silver Mountain,Rainbow,1975,5
Lunatic Fringe,Red Rider,1981,52
Black-Throated Wind,Grateful Dead,2002,1
Lay Down Sally,Eric Clapton,1977,10
Dr. Feelgood,Motley Crue,1989,17
Junior's Farm,Paul McCartney & Wings,1974,3
Addicted to Love,Robert Palmer,1985,11
UNDERCOVER OF THE NIGHT,Rolling Stones,1983,1
All Summer Long,Kid Rock,2007,8
Cat's In The Cradle,Harry Chapin,1974,4
Hey Jealousy,Gin Blossoms,1992,3
Old Time Rock & Roll,Bob Seger,1978,42
Since You Been Gone,Rainbow,1979,14
DANIEL,Elton John,1973,4
The Last Worthless Evening,Don Henley,1989,1
Out On The Tiles,Led Zeppelin,1970,6
I Can't Stand It,Eric Clapton,1981,9
Raise Your Hands,Bon Jovi,1986,1
Sunset Grill,Don Henley,1985,6
Ain't That a Shame,Cheap Trick,1978,8
One,Metallica,1988,1
Summertime Girls,Y&T,1985,4
It Can Happen,Yes,1983,3
Love Me Two Times,The Doors,1967,51
Would?,Alice In Chains,1992,2
Under Pressure,Queen,1981,12
Ballroom Blitz,Sweet,1973,25
Saved By Zero,The Fixx,1983,2
Rough Boys,Pete Townshend,1980,2
Chest Fever,The Band,1968,1
Rock Candy,Montrose,1973,19
Red,Sammy Hagar,1978,3
Shout,Tears for Fears,1984,1
Help!,The Beatles,1965,4
Rock And Roll All Nite,Kiss,1975,119
Bringin' On The Heartbreak,Def Leppard,1981,35
You're All I've Got Tonight,The Cars,1978,38
Who Are You?,Why Not,1978,5
Rooster,Alice In Chains,1992,2
The Story In Your Eyes,The Moody Blues,1971,1
Dissident,Pearl Jam,1994,2
What Do All The People Know,Monroes,1982,2
A Life Of Illusion,Joe Walsh,1981,5
Keep Talking,Pink Floyd,1994,4
Wild Horses,Rolling Stones,1971,5
Summer Nights,Van Halen,1986,4
Monterey,The Animals,1968,3
Traveling Riverside Blues,Led Zeppelin,1982,9
Backstreets,Bruce Springsteen,1975,1
Drift Away,Dobie Gray,1973,22
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1967,1
Cryin',Aerosmith,1993,15
Lonely Ol' Night,John Mellencamp,1985,7
Headkeeper,Dave Mason,1972,1
Stayed Awake All Night,Krokus,1989,1
Wonderful Tonight,Eric Clapton,1977,15
De Do Do Do De Da Da Da,The Police,1980,19
Stone Cold,Rainbow,1982,3
Tusk,Fleetwood Mac,1979,6
Carpet Crawlers,Genesis,1998,1
Learning to Fly,Pink Floyd,1987,44
Sin City,AC/DC,1978,1
No One to Depend On,Santana,1971,7
Bohemian Rhapsody,Queen,1975,119
Atomic Punk,Van Halen,1978,1
Calling Dr. Love,Kiss,1976,4
(I Just) Died in Your Arms,Cutting Crew,1986,3
Takin' Care Of Business,Bachman-Turner Overdrive,1973,39
Who's Crying Now,Journey,1981,29
City of the Angels,Journey,1979,4
In the Evening,Led Zeppelin,1979,11
On the Dark Side,John Cafferty,1983,19
Too Late for Love,Def Leppard,1983,27
We're Ready,Boston,1986,1
Inside Out,Eve 6,1998,1
Detroit Rock City,Kiss,1976,27
STILL THE ONE,Orleans,1976,1
Eleanor Rigby,The Beatles,1966,20
Hard As A Rock,AC/DC,1995,1
Blue Collar Man,Styx,1978,61
Need You Tonight,INXS,1987,12
45,Shinedown,2003,2
Abacab,Genesis,1981,35
Sweetest Thing,U2,1987,1
LITTLE CHILD,The Beatles,1963,1
Rosalita (Come Out Tonight),Bruce Springsteen,1973,5
You Wear It Well,Rod Stewart,1972,7
Second Hand News,Fleetwood Mac,1977,4
Last Child,Aerosmith,1976,4
Hold Your Head Up,Argent,1972,11
Eighteen,Alice Cooper,1971,4
Maybe I'm Amazed,Paul McCartney & Wings,1970,53
Brickyard Road,Johnny Van Zant,1990,1
Animal,Def Leppard,1987,35
The Old Man Down The Road,John Fogerty,1985,12
I Still Haven't Found What I'm Looking For,U2,1987,53
Stay,David Bowie,1976,1
Lucky Man,Emerson Lake & Palmer,1970,8
Question,The Moody Blues,1970,2
I Can See For Miles,The Who,1968,10
Free Me,Roger Daltry,1980,1
On the Road Again,Canned Heat,1968,1
You've Got Another Thing Comin',Judas Priest,1982,26
Home by the Sea/Second Home by the Sea,Genesis,1983,1
I Wouldn't Want to Be Like You,The Alan Parsons Project,1977,1
Seek & Destroy,Metallica,1983,1
I Remember You,Skid Row,1989,30
Let Me Roll It,Paul McCartney & Wings,1973,1
Wherever I May Roam,Metallica,1991,3
Helter Skelter,Paul McCartney & Wings,1968,1
ANOTHER TRICKY DAY,The Who,1981,1
Run With The Pack,Bad Company,1976,11
Remedy,Seether,2005,1
Love Is Like Oxygen,Sweet,1978,1
Tenth Avenue Freeze-Out,Bruce Springsteen,1975,4
Higher Love,Steve Winwood,1986,6
Still of the Night,Whitesnake,1987,14
I Fought The Law,The Clash,1977,2
Bron-y-aur Stomp,Led Zeppelin,1970,2
Let's Spend the Night Together,Rolling Stones,1967,6
Uneasy Rider,Charlie Daniels Band,1973,2
Any Way You Want It,Journey,1980,105
Hymn 43,Jethro Tull,1971,1
When I See You Smile,Bad English,1989,1
From Me To You,The Beatles,1963,1
Vasoline,Stone Temple Pilots,1994,3
Call Me the Breeze,Lynyrd Skynyrd,1974,25
The Confessor,Joe Walsh,1985,7
What You Need,INXS,1985,28
YYZ,Rush,1981,2
She Loves You,The Beatles,1963,3
Copperhead Road,Steve Earle,1988,3
Lithium,Nirvana,1991,10
Something About You,Boston,1976,26
The Kids Aren't Alright,The Offspring,1998,1
The First Cut Is The Deepest,Rod Stewart,1976,24
THE SONG IS OVER,The Who,1971,1
I Can't Drive 55,Sammy Hagar,1984,40
Funk #49,James Gang,1970,18
Somebody to Love,Jefferson Airplane,1967,13
Roadhouse Blues,The Doors,1967,49
Don't Stop,Fleetwood Mac,1977,50
1984/jump,Van Halen,1984,3
Another Brick In The Wall,Pink Floyd,1979,29
Baby You're A Rich Man,The Beatles,1967,1
Jungleland,Bruce Springsteen,1975,2
Wheel in the Sky,Journey,1978,114
Pulling Mussels,Squeeze,1980,2
TALKING IN YOUR SLEEP,The Romantics,1983,5
Fortunate Son,Creedence Clearwater Revival,1970,33
Mama I'm Coming Home,Ozzy Osbourne,1991,31
This Beat Goes on/Switching to Glide,The Kings,1995,1
Red Red Wine,UB40,1983,2
Who Do You Love,George Thorogood,1978,37
SHE'S A WOMAN,The Beatles,1964,1
Roll Over Beethoven,The Beatles,1963,1
Little Guitars,Van Halen,1982,6
The Road and the Sky,Jackson Browne,1977,1
Treetop Flyer,Stephen Stills,1991,3
Smells Like Teen Spirit,Nirvana,1991,24
Eyes Of A Stranger,Queensryche,1988,18
Fire,Jimi Hendrix,1967,63
Live Wire,AC/DC,1975,2
Any Colour You Like,Pink Floyd,1973,2
Janie's Got A Gun,Aerosmith,1989,34
Bang Your Head,Quiet Riot,1983,6
Oh Very Young,Cat Stevens,1974,1
American Pie,Don McLean,1971,21
Ain't Even Done With the Night,John Mellencamp,1980,2
Free Fallin',Tom Petty & The Heartbreakers,1989,90
Like You Do,REO Speedwagon,1972,3
On The Turning Away,Pink Floyd,1987,15
Day Tripper,The Beatles,1965,2
Dirty Work,Steely Dan,1977,1
Flight Of Icarus,Iron Maiden,1983,1
Shinin' On,Grand Funk Railroad,1974,1
Bad Time,Grand Funk Railroad,1974,1
Hold Me,Fleetwood Mac,1982,1
A Girl Like You,The Smithereens,1989,1
Going to California,Led Zeppelin,1971,42
Wild Night,Van Morrison,1971,5
Golden Country,REO Speedwagon,1972,4
Don't Believe Her,Scorpions,1990,1
Jailbreak,AC/DC,1984,1
Middle Of The Road,The Pretenders,1984,33
One Of These Days,Pink Floyd,1971,12
New Year's Day,U2,1983,88
Psycho Killer,Talking Heads,1977,8
I Love the Night,Blue Oyster Cult,1977,2
Communication Breakdown,Led Zeppelin,1969,18
Ridin' the Storm Out,REO Speedwagon,1973,20
Stranglehold,Ted Nugent,1975,33
Semi-Charmed Life,Third Eye Blind,1997,1
Breaking The Law,Judas Priest,1980,7
Paranoid,Black Sabbath,1970,105
Sunspot Baby,Bob Seger,1976,5
Down By The Seaside,Led Zeppelin,1975,1
Dangerious Type,The Cars,1979,10
Royal Orleans,Led Zeppelin,1976,2
Racing in the Streets,Bruce Springsteen,1978,1
A Fool for Your Stockings,ZZ Top,1979,1
In the Dark,Billy Squier,1981,24
Turn On Your Love Light,Bob Seger,1972,1
Mr. Soul,Buffalo Springfield,1967,1
Green Onions,Booker T. and the MG's,1962,4
Pretending,Eric Clapton,1989,6
Hollywood Nights,Bob Seger,1978,43
Orange Crush,R.E.M.,1988,10
Astronomy Domine,Pink Floyd,1967,3
Dumb,Nirvana,1993,1
Voodoo Chile {slight Return},Stevie Ray Vaughan,1983,3
Fantasy Girl,.38 Special,1981,3
Rockin' Into the Night,.38 Special,1980,18
Flirtin' With Disaster,Molly Hatchet,1979,35
Subterranean Homesick Blues,Bob Dylan,1965,1
Who'll Stop the Rain,Creedence Clearwater Revival,1970,24
The Ocean,Led Zeppelin,1973,54
Locomotive Breath,Jethro Tull,1971,53
Say You Love Me,Fleetwood Mac,1975,9
Moondance,Van Morrison,1970,14
Landslide,Smashing Pumpkins,1994,4
Waiting For The Sun,The Doors,1970,17
Solid Rock,Dire Straits,1980,4
Good Lovin' Gone Bad,Bad Company,1975,10
Have You Ever Loved a Woman,Derek & The Dominos,1970,1
Eruption - You Really Got Me,Van Halen,1978,25
After Midnight,Eric Clapton,1970,16
Keep Pushin'  1977,REO Speedwagon,1977,1
Lay Your Hands On Me,Bon Jovi,1988,2
It's A Long Way To The Top,AC/DC,1975,39
Roxanne,The Police,1978,75
I Shot The Sheriff,Eric Clapton,1974,39
(I Can't Get No) Satisfaction,Rolling Stones,1965,60
Do Wah Diddy Diddy,Manfred Mann,1964,2
Separate Ways (Worlds Apart),Journey,1983,100
You Can't Always Get What You Want,Rolling Stones,1969,62
L.A. Woman,The Doors,1971,31
25 Or 6 To 4,Chicago,1970,14
Thorn In My Pride,The Black Crowes,1992,3
Still You Turn Me On,Emerson Lake & Palmer,1973,1
Remedy,The Black Crowes,1992,7
Light Up,Styx,1975,3
Hungry Heart,Bruce Springsteen,1980,7
Green Eyed Lady,Sugarloaf,1970,5
Apeman,The Kinks,1971,2
You Ain't Seen Nothin' Yet,Bachman-Turner Overdrive,1974,69
Get Together,The Youngbloods,2005,2
Ten Years Gone,Led Zeppelin,1975,5
Subdivisions,Rush,1982,26
You Belong to the City,Glenn Frey,1985,2
A Well Respected Man,The Kinks,1965,16
Take It to the Limit,Eagles,1975,39
Uncle John's Band,Grateful Dead,1969,9
Jesus Just Left Chicago,ZZ Top,1973,6
Road To Nowhere,Talking Heads,1985,18
Heard It On the X,ZZ Top,1975,2
It Keeps You Runnin',The Doobie Brothers,1976,1
Every Picture Tells A Story,Rod Stewart,1971,15
Take the Long Way Home,Supertramp,1979,46
Blackout,Scorpions,1982,4
Bungle In The Jungle,Jethro Tull,1974,19
Happy,Rolling Stones,1972,4
(Oh) Pretty Woman,Van Halen,1982,34
Expresso Love,Dire Straits,1980,10
Layla,Derek & The Dominos,1970,99
I Wanna Rock,Twisted Sister,1984,7
Helen Wheels,Paul McCartney & Wings,1973,4
Fortress Around Your Heart,Sting,1985,1
Cecilia,Simon & Garfunkel,1970,6
Soulshine,Gov't Mule,1999,3
Top Jimmy,Van Halen,1984,23
I Want You (She's So Heavy),The Beatles,1969,2
What If I Came Knocking,John Mellencamp,1993,1
Little Wing,Jimi Hendrix,1967,6
Some Like It Hot,The Power Station,1985,1
With A Little Help From My Friends,Joe Cocker,1968,9
A Hard Day's Night,The Beatles,1964,5
Hot Dog,Led Zeppelin,1979,4
All Apologies,Nirvana,1993,15
Another Park Another Sunday,The Doobie Brothers,1974,1
The Ripper,Judas Priest,1976,1
Teenage Lobotomy,The Ramones,1977,1
Cradle of Love,Billy Idol,1990,6
Sgt. Pepper's Lonely Hearts Club Band (Reprise),The Beatles,1967,3
Lady Madonna,The Beatles,1968,7
Empty Spaces,Pink Floyd,1979,8
Born Under A Bad Sign,Cream,1968,9
Miami 2017 (Seen The Lights Go Out On Broadway) (live 1,Billy Joel,1976,5
When the Music's Over,The Doors,1967,1
All the Young Dudes,Mott the Hoople,1972,12
Blue Morning Blue Day,Foreigner,1978,52
Eminence Front,The Who,1982,19
You Really Got Me,Van Halen,1978,70
Mama,Genesis,1983,17
Enter Sandman,Metallica,1991,34
CAN'T STOP ROCK'N'ROLL,AC/DC,2000,5
Snortin Whiskey,Pat Travers,1980,1
Sangre Por Sangre,HellYeah,2014,4
Me And Julio Down By The Schoolyard,Paul Simon,1972,6
Foxey Lady,Jimi Hendrix,1967,50
Illegal Smile,John Prine,1971,1
Check It Out,John Mellencamp,1987,1
Free Bird,Lynyrd Skynyrd,1973,75
What I Like About You,The Romantics,1980,29
5:15,The Who,1973,3
Comedown,Bush,1994,5
Friends Of Mine,Guess Who,1969,1
Have a Cigar,Pink Floyd,1975,41
Listen To Your Heart,Tom Petty & The Heartbreakers,1978,1
You Wreck Me,Tom Petty & The Heartbreakers,1994,41
Mainstreet,Bob Seger,1977,7
Runnin' with the Devil,Van Halen,1978,81
The Sky Is Crying,Stevie Ray Vaughan,1991,8
Almost Hear You Sigh,Rolling Stones,1989,1
Is This Love,Whitesnake,1987,7
In Memory Of Elizabeth Reed,Allman Brothers Band,1970,1
Soul Man,The Blues Brothers,1978,3
Fool for Your Loving,Whitesnake,1980,3
I Won't Back Down,Tom Petty & The Heartbreakers,1989,76
Just Like A Woman,Bob Dylan,1966,1
Killer Queen,Queen,1974,69
Thunderstruck,AC/DC,1990,34
Here Comes My Girl,Tom Petty & The Heartbreakers,1979,17
